"objeto","tipo","operacion","archivo","linea","estado","evidencia"
"REVISAR_MANUALMENTE","unknown","EjecutarStoredProcedure*","factory/Datos.php","143","revisar manualmente","SP din?mico: $name"
"REVISAR_MANUALMENTE","unknown","EjecutarStoredProcedure*","factory/Datos.php","144","revisar manualmente","SP din?mico: $name"
"REVISAR_MANUALMENTE","unknown","EjecutarStoredProcedure*","factory/Factory.php","123","revisar manualmente","SP din?mico: $storedProcedureName"
"REVISAR_MANUALMENTE","unknown","EjecutarStoredProcedure*","factory/Factory.php","133","revisar manualmente","SP din?mico: $storedProcedureName"
"roles_por_tipo_notificacion","tabla","DELETE FROM","factory/Mapper.php","13188","detectado","DELETE FROM roles_por_tipo_notificacion"
"roles_por_tipo_notificacion","tabla","DELETE FROM","factory/Mapper.php","14181","detectado","DELETE FROM roles_por_tipo_notificacion"
"roles_por_tipo_notificacion","tabla","INSERT INTO","factory/Mapper.php","13178","detectado","INSERT INTO roles_por_tipo_notificacion"
"roles_por_usuario","tabla","DELETE FROM","factory/Mapper.php","13217","detectado","DELETE FROM roles_por_usuario"
"roles_por_usuario","tabla","DELETE FROM","factory/Mapper.php","14606","detectado","DELETE FROM roles_por_usuario"
"roles_por_usuario","tabla","DELETE FROM","factory/Mapper.php","14688","detectado","DELETE FROM roles_por_usuario"
"roles_por_usuario","tabla","INSERT INTO","factory/Mapper.php","13209","detectado","INSERT INTO roles_por_usuario"
"roles_por_usuario_v","tabla","FROM","factory/Mapper.php","13205","detectado","FROM roles_por_usuario_v"
"rubros_iva","tabla","INSERT INTO","factory/Mapper.php","13266","detectado","INSERT INTO rubros_iva"
"rutas_produccion","tabla","FROM","factory/Mapper.php","13325","detectado","FROM rutas_produccion"
"Rutas_produccion","tabla","FROM","factory/Mapper.php","13344","detectado","FROM Rutas_produccion"
"rutas_produccion","tabla","INSERT INTO","factory/Mapper.php","13302","detectado","INSERT INTO rutas_produccion"
"secciones_produccion","tabla","FROM","factory/Mapper.php","13455","detectado","FROM secciones_produccion"
"secciones_produccion","tabla","INSERT INTO","factory/Mapper.php","13406","detectado","INSERT INTO secciones_produccion"
"solicitud_de_fondos_c","tabla","FROM","factory/Mapper.php","13572","detectado","FROM solicitud_de_fondos_c"
"solicitud_de_fondos_c","tabla","INSERT INTO","factory/Mapper.php","13553","detectado","INSERT INTO solicitud_de_fondos_c"
"solicitud_de_fondos_d","tabla","FROM","factory/Mapper.php","13605","detectado","FROM solicitud_de_fondos_d"
"solicitud_de_fondos_d","tabla","INSERT INTO","factory/Mapper.php","13589","detectado","INSERT INTO solicitud_de_fondos_d"
"stock_mp_tabla","tabla","INSERT INTO","factory/Mapper.php","13673","detectado","INSERT INTO stock_mp_tabla"
"stock_produccion_incumplida_40_v","tabla","FROM","content/api/funciones.php","13","detectado","FROM stock_produccion_incumplida_40_v"
"sucursales_clientes","tabla","FROM","factory/Mapper.php","13884","detectado","FROM sucursales_clientes"
"sucursales_clientes","tabla","INSERT INTO","factory/Mapper.php","13730","detectado","INSERT INTO sucursales_clientes"
"Tareas_cabecera","tabla","FROM","factory/Mapper.php","13960","detectado","FROM Tareas_cabecera"
"Tareas_cabecera","tabla","FROM","factory/Mapper.php","14046","detectado","FROM Tareas_cabecera"
"Tareas_cabecera","tabla","INSERT INTO","factory/Mapper.php","13903","detectado","INSERT INTO Tareas_cabecera"
"Tareas_detalle","tabla","INSERT INTO","factory/Mapper.php","13979","detectado","INSERT INTO Tareas_detalle"
"tipo_factura","tabla","FROM","factory/Mapper.php","14125","detectado","FROM tipo_factura"
"tipo_factura","tabla","INSERT INTO","factory/Mapper.php","14096","detectado","INSERT INTO tipo_factura"
"tipo_producto_stock","tabla","FROM","factory/Mapper.php","14270","detectado","FROM tipo_producto_stock"
"tipo_producto_stock","tabla","INSERT INTO","factory/Mapper.php","14249","detectado","INSERT INTO tipo_producto_stock"
"tipo_retencion","tabla","DELETE FROM","factory/Mapper.php","14332","detectado","DELETE FROM tipo_retencion"
"tipo_retencion","tabla","FROM","factory/Mapper.php","14335","detectado","FROM tipo_retencion"
"tipo_retencion","tabla","INSERT INTO","factory/Mapper.php","14317","detectado","INSERT INTO tipo_retencion"
"tipos_notificacion","tabla","FROM","factory/Mapper.php","14189","detectado","FROM tipos_notificacion"
"tipos_notificacion","tabla","INSERT INTO","factory/Mapper.php","14142","detectado","INSERT INTO tipos_notificacion"
"Tipos_proveedor","tabla","DELETE FROM","factory/Mapper.php","14299","detectado","DELETE FROM Tipos_proveedor"
"Tipos_proveedor","tabla","INSERT INTO","factory/Mapper.php","14287","detectado","INSERT INTO Tipos_proveedor"
"transferencia_bancaria_importe","tabla","FROM","factory/Mapper.php","14479","detectado","FROM transferencia_bancaria_importe"
"transferencia_bancaria_importe","tabla","INSERT INTO","factory/Mapper.php","14467","detectado","INSERT INTO transferencia_bancaria_importe"
"transferencia_bancaria_operacion","tabla","FROM","factory/Mapper.php","14450","detectado","FROM transferencia_bancaria_operacion"
"transferencia_bancaria_operacion","tabla","INSERT INTO","factory/Mapper.php","14414","detectado","INSERT INTO transferencia_bancaria_operacion"
"transferencia_interna_c","tabla","FROM","factory/Mapper.php","14559","detectado","FROM transferencia_interna_c"
"transferencia_interna_c","tabla","INSERT INTO","factory/Mapper.php","14534","detectado","INSERT INTO transferencia_interna_c"
"transferencia_interna_d","tabla","FROM","factory/Mapper.php","14514","detectado","FROM transferencia_interna_d"
"transferencia_interna_d","tabla","INSERT INTO","factory/Mapper.php","14498","detectado","INSERT INTO transferencia_interna_d"
"Unidades_medida","tabla","INSERT INTO","factory/Mapper.php","14577","detectado","INSERT INTO Unidades_medida"
"usuarios_por_almacen","tabla","DELETE FROM","factory/Mapper.php","14721","detectado","DELETE FROM usuarios_por_almacen"
"usuarios_por_almacen","tabla","INSERT INTO","factory/Mapper.php","14713","detectado","INSERT INTO usuarios_por_almacen"
"usuarios_por_almacen_v","tabla","FROM","factory/Mapper.php","14709","detectado","FROM usuarios_por_almacen_v"
"usuarios_por_area_empresa","tabla","DELETE FROM","factory/Mapper.php","4363","detectado","DELETE FROM usuarios_por_area_empresa"
"usuarios_por_area_empresa","tabla","DELETE FROM","factory/Mapper.php","14748","detectado","DELETE FROM usuarios_por_area_empresa"
"usuarios_por_area_empresa","tabla","INSERT INTO","factory/Mapper.php","14740","detectado","INSERT INTO usuarios_por_area_empresa"
"usuarios_por_area_empresa_v","tabla","FROM","factory/Mapper.php","14736","detectado","FROM usuarios_por_area_empresa_v"
"usuarios_por_caja","tabla","DELETE FROM","factory/Mapper.php","14776","detectado","DELETE FROM usuarios_por_caja"
"usuarios_por_caja","tabla","INSERT INTO","factory/Mapper.php","14768","detectado","INSERT INTO usuarios_por_caja"
"usuarios_por_seccion","tabla","DELETE FROM","factory/Mapper.php","14802","detectado","DELETE FROM usuarios_por_seccion"
"usuarios_por_seccion","tabla","INSERT INTO","factory/Mapper.php","14794","detectado","INSERT INTO usuarios_por_seccion"
"usuarios_por_seccion_v","tabla","FROM","factory/Mapper.php","14790","detectado","FROM usuarios_por_seccion_v"
"usuarios_por_tipo_notificacion","tabla","DELETE FROM","factory/Mapper.php","14179","detectado","DELETE FROM usuarios_por_tipo_notificacion"
"usuarios_por_tipo_notificacion","tabla","DELETE FROM","factory/Mapper.php","14832","detectado","DELETE FROM usuarios_por_tipo_notificacion"
"usuarios_por_tipo_notificacion","tabla","INSERT INTO","factory/Mapper.php","14822","detectado","INSERT INTO usuarios_por_tipo_notificacion"
"venta_cheques_c","tabla","FROM","factory/Mapper.php","14924","detectado","FROM venta_cheques_c"
"venta_cheques_c","tabla","INSERT INTO","factory/Mapper.php","14897","detectado","INSERT INTO venta_cheques_c"
"venta_cheques_d","tabla","FROM","factory/Mapper.php","14878","detectado","FROM venta_cheques_d"
"venta_cheques_d","tabla","INSERT INTO","factory/Mapper.php","14862","detectado","INSERT INTO venta_cheques_d"
"venta_cheques_temporal","tabla","FROM","factory/Mapper.php","14980","detectado","FROM venta_cheques_temporal"
"venta_cheques_temporal","tabla","INSERT INTO","factory/Mapper.php","14942","detectado","INSERT INTO venta_cheques_temporal"
"zonas_geo","tabla","INSERT INTO","factory/Mapper.php","14997","detectado","INSERT INTO zonas_geo"
